#{"t_start": 1522494660.6319315, "env_id": "HalfCheetah-v2"}
r,l,t
1869.968143,1000,2168.954536
1969.514436,1000,2173.668805
2076.25709,1000,2177.839614
2173.778898,1000,2182.598896
1733.851316,1000,2186.800714
2084.323507,1000,2191.566063
1858.645517,1000,2195.636105
1888.155034,1000,2200.3472
1862.817944,1000,2204.519876
1319.587875,1000,2209.251073
1756.762191,1000,2213.422122
2044.089327,1000,2218.087711
2320.586155,1000,2222.181997
2165.193706,1000,2226.88963
2039.394181,1000,2231.068956
2125.376056,1000,2235.817182
2073.607389,1000,2239.977172
1810.773824,1000,2244.662475
1906.928616,1000,2248.830054
2089.663202,1000,2253.596619
1927.914067,1000,2257.791201
1886.035084,1000,2262.552122
1938.297839,1000,2266.668856
1926.734506,1000,2271.370113
2205.752826,1000,2275.538038
1873.643735,1000,2280.320271
2165.347197,1000,2284.501877
2027.905713,1000,2289.290758
1538.870068,1000,2293.344586
1890.593704,1000,2298.063122
1773.29754,1000,2302.244805
1952.242403,1000,2306.973702
1793.38888,1000,2311.142346
1921.576164,1000,2315.886645
2024.605349,1000,2319.968954
1691.444853,1000,2324.72647
1823.070969,1000,2328.87566
2162.600078,1000,2333.673748
1987.457778,1000,2337.837551
2081.934227,1000,2342.58314
2021.918599,1000,2346.696304
1769.019027,1000,2351.498019
2056.813353,1000,2355.655351
1650.611168,1000,2360.472454
1982.72739,1000,2364.595063
1529.661528,1000,2369.305408
1932.208996,1000,2373.464112
1953.663964,1000,2378.252949
1735.417319,1000,2382.4582
2149.618959,1000,2387.765699
2425.727778,1000,2391.950227
2179.698347,1000,2396.717288
2151.805979,1000,2400.851081
2031.306512,1000,2405.658106
2013.642892,1000,2409.864122
1821.38507,1000,2414.670418
2218.611875,1000,2418.837804
2282.647684,1000,2423.57867
2023.29128,1000,2427.742223
1529.648725,1000,2432.565584
2168.77057,1000,2436.744112
2136.652643,1000,2441.577237
2149.51234,1000,2445.744276
2140.421463,1000,2450.571044
2046.48843,1000,2454.708186
2186.106681,1000,2459.501924
2205.573551,1000,2463.665836
1790.970502,1000,2468.50569
1969.037839,1000,2472.66539
2110.453163,1000,2477.434191
2251.631309,1000,2481.645958
2107.889181,1000,2486.458773
2139.311063,1000,2490.648363
1808.390789,1000,2495.461962
1890.035579,1000,2499.604741
2032.868822,1000,2504.37209
1961.624299,1000,2508.560812
1787.530719,1000,2513.386335
2078.319339,1000,2517.593351
2204.114281,1000,2522.436578
1520.804731,1000,2526.546705
1818.605994,1000,2531.354692
1837.589152,1000,2535.53622
2119.566555,1000,2540.384273
1393.695713,1000,2544.559952
1985.590977,1000,2549.409503
2322.207105,1000,2553.52527
2294.009214,1000,2558.300072
2314.728385,1000,2562.459371
2202.435697,1000,2567.277016
1903.783469,1000,2571.493488
1878.329805,1000,2576.342549
2122.239602,1000,2580.417763
2343.813964,1000,2585.23455
1962.165646,1000,2589.416451
2367.301352,1000,2594.297234
1820.574812,1000,2598.465864
2279.10654,1000,2603.295364
2256.75664,1000,2607.342533
2255.949835,1000,2612.213493
2498.643793,1000,2616.343433
2234.211724,1000,2621.215166
2124.830383,1000,2625.409734
2091.898722,1000,2630.266639
2125.395285,1000,2634.355327
2130.345847,1000,2639.259734
2113.559032,1000,2643.487041
2086.320329,1000,2648.314093
2150.032701,1000,2652.438433
1988.388692,1000,2657.29422
2133.162747,1000,2661.338231
1923.289784,1000,2666.185745
1883.81037,1000,2670.366701
2027.246609,1000,2675.185858
2031.918909,1000,2679.323224
2126.270916,1000,2684.110467
1855.400391,1000,2688.175439
1894.186177,1000,2693.015749
2094.843406,1000,2697.209679
2014.636809,1000,2702.0745
1959.109589,1000,2706.292942
2225.319565,1000,2711.088813
2091.282929,1000,2715.183797
2217.610201,1000,2720.033784
1831.463467,1000,2724.203473
2010.934705,1000,2729.037028
1946.126887,1000,2733.218431
1864.352825,1000,2738.03217
1872.63175,1000,2742.144535
2295.151031,1000,2747.019333
2076.289783,1000,2751.165172
2034.328283,1000,2756.030972
2492.954766,1000,2760.227574
2269.613055,1000,2765.051152
2319.729982,1000,2769.1979
2175.967659,1000,2774.049232
2115.950803,1000,2778.238051
1913.582627,1000,2783.072237
2053.18578,1000,2787.247094
2327.334493,1000,2792.048927
2082.58943,1000,2796.135935
2148.482076,1000,2800.99962
2146.643036,1000,2805.188359
2299.456465,1000,2810.024778
2164.709375,1000,2814.17919
2044.131936,1000,2818.984697
2149.764433,1000,2823.128402
2078.538518,1000,2828.045126
2389.064696,1000,2832.243171
2120.205163,1000,2837.163528
2156.732654,1000,2841.336834
2168.97468,1000,2846.190386
2293.638032,1000,2850.307125
2062.847696,1000,2855.200484
2053.568538,1000,2859.403742
1944.636967,1000,2864.290502
2008.263461,1000,2868.450995
2180.384525,1000,2873.297757
2280.681847,1000,2877.444192
2145.977704,1000,2882.312703
2190.380475,1000,2886.474179
2061.903904,1000,2891.349889
2107.752148,1000,2895.473118
2095.7278,1000,2900.328407
1679.144018,1000,2904.470327
2232.700253,1000,2909.3951
2122.799017,1000,2913.555619
953.522401,1000,2918.465058
2161.177128,1000,2922.666284
2151.918237,1000,2927.552046
2347.796686,1000,2931.671105
2391.620613,1000,2936.582715
2144.407036,1000,2940.744539
2073.257256,1000,2945.666714
2228.139811,1000,2949.864019
2274.313043,1000,2954.770232
2340.227377,1000,2958.875294
