total/epochs,rollout/Q_mean,obs_rms_std,total/steps,reference_action_std,reference_actor_Q_std,train/param_noise_distance,obs_rms_mean,rollout/return,rollout/episodes,total/duration,reference_Q_std,train/loss_critic,total/episodes,reference_perturbed_action_std,reference_actor_Q_mean,rollout/return_history,total/steps_per_second,train/loss_actor,rollout/episode_steps,rollout/actions_mean,reference_Q_mean,reference_action_mean,param_noise_stddev,rollout/actions_std,reference_perturbed_action_mean
27,16.653902053833008,1.9731593132019043,54000,0.8155791163444519,44.84362030029297,0.20829251408576965,0.12127628177404404,-24.77790964937228,54.0,224.96342492103577,45.02060317993164,4.398314476013184,54.0,0.8007616996765137,30.160358428955078,-24.77790964937228,240.03901976045438,-41.668094635009766,1000.0,0.1230495497584343,29.008556365966797,-0.3118284046649933,0.034711086666206405,0.7794974446296692,-0.31021878123283386
28,17.515357971191406,1.9919217824935913,56000,0.8328157663345337,45.164058685302734,0.1960177719593048,0.12248026579618454,5.485991985896923,56.0,233.2394905090332,44.39032745361328,5.024318695068359,56.0,0.8187709450721741,32.446014404296875,5.485991985896923,240.09656288385332,-46.5434455871582,1000.0,0.11683473736047745,31.58116912841797,-0.3896879255771637,0.03540877950819716,0.7831628322601318,-0.3907967805862427
29,17.145593643188477,1.984838843345642,58000,0.8205124139785767,48.6402473449707,0.26599451899528503,0.12217265367507935,4.21274739448365,58.0,241.59623670578003,48.174320220947266,4.9574971199035645,58.0,0.8529005646705627,36.51689147949219,4.21274739448365,240.06996462711206,-47.38121032714844,1000.0,0.10462214052677155,35.361595153808594,-0.4258532226085663,0.036846517945435794,0.790183424949646,-0.3765225112438202
30,18.332984924316406,2.0020911693573,60000,0.8540458083152771,50.8345832824707,0.15693888068199158,0.12292445451021194,25.9361739526134,60.0,249.96051573753357,50.18803024291992,8.493294715881348,60.0,0.7837749719619751,39.064048767089844,25.9361739526134,240.03791087950023,-53.042667388916016,1000.0,0.10047026723623276,37.7678337097168,-0.33670687675476074,0.03540877950819716,0.7932349443435669,-0.3429361879825592
31,20.385881423950195,2.053367853164673,62000,0.7171969413757324,55.15687942504883,0.2339332550764084,0.12147969007492065,43.559490548772295,62.0,258.291960477829,54.49384307861328,7.391622543334961,62.0,0.7294009923934937,44.80411911010742,43.559490548772295,240.03844287411297,-59.970703125,1000.0,0.10180602967739105,43.3740234375,-0.5368742942810059,0.034027141129503384,0.7930668592453003,-0.4310084879398346
32,22.186513900756836,2.064805746078491,64000,0.7986236810684204,56.726524353027344,0.22297319769859314,0.11809549480676651,54.789325310107486,64.0,266.64806962013245,56.238616943359375,8.628637313842773,64.0,0.8428565859794617,47.04985427856445,54.789325310107486,240.01673850920642,-62.733558654785156,1000.0,0.100099578499794,45.91998291015625,-0.35670995712280273,0.034027141129503384,0.7945171594619751,-0.27938851714134216
33,24.654525756835938,2.0842440128326416,66000,0.6721264123916626,57.99911117553711,0.1692354530096054,0.11964073032140732,93.25447452790189,66.0,274.93718123435974,57.59170913696289,26.915725708007812,66.0,0.702111005783081,48.01104736328125,93.25447452790189,240.0548361763439,-67.54995727539062,1000.0,0.09831652790307999,46.911163330078125,-0.5023244619369507,0.03335667202186392,0.7946022748947144,-0.4768843650817871
34,27.0721492767334,2.1033542156219482,68000,0.7796260118484497,61.70318603515625,0.2324068248271942,0.1194361075758934,122.77296268784733,68.0,283.2636966705322,60.92068862915039,7.379319667816162,68.0,0.7964931726455688,55.39958190917969,122.77296268784733,240.05900085068686,-73.0643539428711,1000.0,0.09529845416545868,53.64646911621094,-0.40108203887939453,0.03269941380439557,0.7953608632087708,-0.3393404483795166
35,29.034095764160156,2.1161792278289795,70000,0.7592230439186096,62.908660888671875,0.16650384664535522,0.1175379753112793,143.24596553734858,70.0,291.5408658981323,62.48756408691406,19.361793518066406,70.0,0.776908814907074,58.496543884277344,143.24596553734858,240.1035607284599,-77.34825897216797,1000.0,0.09162376075983047,57.349388122558594,-0.4435223639011383,0.03142349394213421,0.795356810092926,-0.4290449321269989
36,30.70916748046875,2.1229546070098877,72000,0.8175467252731323,62.492305755615234,0.19537609815597534,0.11360640823841095,158.55272098453418,72.0,299.9478235244751,62.24288558959961,11.0263032913208,72.0,0.7569843530654907,63.94525909423828,158.55272098453418,240.04174844137503,-81.008544921875,1000.0,0.08363451063632965,62.43999099731445,-0.3705388307571411,0.03142349394213421,0.7976301908493042,-0.4405350983142853
37,30.942203521728516,2.106508493423462,74000,0.7490910887718201,62.660179138183594,0.20166060328483582,0.1021086648106575,138.8517296938761,74.0,308.30419635772705,62.45806121826172,10.448376655578613,74.0,0.7530338168144226,68.93763732910156,138.8517296938761,240.02268173520866,-85.00775146484375,1000.0,0.06405936926603317,67.01028442382812,-0.47412848472595215,0.029602352743226958,0.8044621348381042,-0.4687425196170807
